NTASData [id=16593781829, subwayLine=BD, stationId=BAT2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=8.417399286687306, timeString=08.42, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593781830, subwayLine=BD, stationId=CHR2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=1.8994350464396286, timeString=01.90, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593781831, subwayLine=BD, stationId=CHR2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=3.833266253869969, timeString=03.83, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593781832, subwayLine=BD, stationId=CHR2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=9.385801144272447, timeString=09.39, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593781833, subwayLine=BD, stationId=OSS2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=3.2180775826625396, timeString=03.22, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593781834, subwayLine=BD, stationId=OSS2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=5.151908790092879, timeString=05.15, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593781835, subwayLine=BD, stationId=OSS2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=10.704443680495357, timeString=10.70, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593781836, subwayLine=BD, stationId=DUF2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=4.514304579566565, timeString=04.51, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593781837, subwayLine=BD, stationId=DUF2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=6.448135786996904, timeString=06.45, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593781838, subwayLine=BD, stationId=DUF2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=12.000670677399384, timeString=12.00, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593781839, subwayLine=BD, stationId=LAN2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=5.340026065634676, timeString=05.34, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593781840, subwayLine=BD, stationId=LAN2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=7.2738572730650155, timeString=07.27, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593781841, subwayLine=BD, stationId=LAN2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=12.826392163467494, timeString=12.83, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593781842, subwayLine=BD, stationId=DNW2, trainId=211, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593781843, subwayLine=BD, stationId=DNW2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=6.723446622910217, timeString=06.72, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593781844, subwayLine=BD, stationId=DNW2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=8.657277830340558, timeString=08.66, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593781845, subwayLine=BD, stationId=KEL2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=1.1358531269349847, timeString=01.14, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593781846, subwayLine=BD, stationId=KEL2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=7.859299749845201, timeString=07.86, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593781847, subwayLine=BD, stationId=KEL2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=9.793130957275542, timeString=09.79, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593781848, subwayLine=BD, stationId=HPK2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=2.331581052631579, timeString=02.33, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593781849, subwayLine=BD, stationId=HPK2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=9.055027675541796, timeString=09.06, trainDestination=KIP2, createDate=Sun Sep 17 11:08:16 EDT 2017, systemMessageType=Normal]
