NTASData [id=16595202678, subwayLine=YUS, stationId=OSG2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=2.8207066666666667, timeString=02.82, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202679, subwayLine=YUS, stationId=OSG2, trainId=105, trainMessage=Arriving, trainDirection=South, timeInt=4.878284444444445, timeString=04.88, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202680, subwayLine=YUS, stationId=OSG2, trainId=7, trainMessage=Arriving, trainDirection=South, timeInt=8.09015111111111, timeString=08.09, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202681, subwayLine=YUS, stationId=STP2, trainId=119, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202682, subwayLine=YUS, stationId=STP2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=3.574675555555556, timeString=03.57, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202683, subwayLine=YUS, stationId=STP2, trainId=105, trainMessage=Arriving, trainDirection=South, timeInt=5.632253333333333, timeString=05.63, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202684, subwayLine=YUS, stationId=QPK2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=1.1423066666666668, timeString=01.14, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202685, subwayLine=YUS, stationId=QPK2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=4.716982222222223, timeString=04.72, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202686, subwayLine=YUS, stationId=QPK2, trainId=105, trainMessage=Arriving, trainDirection=South, timeInt=6.774559999999999, timeString=06.77, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202687, subwayLine=YUS, stationId=MUS2, trainId=118, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202688, subwayLine=YUS, stationId=MUS2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=2.40484, timeString=02.40, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202689, subwayLine=YUS, stationId=MUS2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=5.979515555555555, timeString=05.98, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202690, subwayLine=YUS, stationId=SGU2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202691, subwayLine=YUS, stationId=SGU2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=1.1595222222222223, timeString=01.16, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202692, subwayLine=YUS, stationId=SGU2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=3.5643622222222224, timeString=03.56, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202693, subwayLine=YUS, stationId=SPA2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=1.1677066666666667, timeString=01.17, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202694, subwayLine=YUS, stationId=SPA2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=2.3272288888888886, timeString=02.33, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202695, subwayLine=YUS, stationId=SPA2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=4.7320688888888895, timeString=04.73, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202696, subwayLine=YUS, stationId=DUP2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=2.1655155555555554, timeString=02.17, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202697, subwayLine=YUS, stationId=DUP2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=3.3250377777777778, timeString=03.33, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202698, subwayLine=YUS, stationId=DUP2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=5.729877777777778, timeString=05.73, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202699, subwayLine=YUS, stationId=SCW2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=4.790053333333333, timeString=04.79, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16595202700, subwayLine=YUS, stationId=SCW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=5.9495755555555565, timeString=05.95, trainDestination=SHW2, createDate=Sun Sep 17 12:57:08 EDT 2017, systemMessageType=Normal]
