NTASData [id=16594708572, subwayLine=YUS, stationId=WIL1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=0.8368688, timeString=00.84, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708573, subwayLine=YUS, stationId=YKD1, trainId=195, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708574, subwayLine=YUS, stationId=YKD1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=1.3716, timeString=01.37, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708575, subwayLine=YUS, stationId=YKD1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=2.852371022222222, timeString=02.85, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708576, subwayLine=YUS, stationId=LWW1, trainId=126, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708577, subwayLine=YUS, stationId=LWW1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=2.0183244444444446, timeString=02.02, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708578, subwayLine=YUS, stationId=LWW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=3.389924444444444, timeString=03.39, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708579, subwayLine=YUS, stationId=GCN1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=1.358488888888889, timeString=01.36, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708580, subwayLine=YUS, stationId=GCN1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=3.3768133333333337, timeString=03.38, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708581, subwayLine=YUS, stationId=GCN1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=4.748413333333333, timeString=04.75, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708582, subwayLine=YUS, stationId=EGW1, trainId=532, trainMessage=Arriving, trainDirection=North, timeInt=0.2779814814814815, timeString=00.28, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708583, subwayLine=YUS, stationId=EGW1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=3.1786933333333334, timeString=03.18, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
