NTASData [id=16594221056, subwayLine=YUS, stationId=UNI1, trainId=94, trainMessage=Arriving, trainDirection=North, timeInt=0.9069333333333333, timeString=00.91, trainDestination=FIN1, createDate=Sun Sep 17 11:40:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594221057, subwayLine=YUS, stationId=UNI1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=1.8784955555555556, timeString=01.88, trainDestination=FIN1, createDate=Sun Sep 17 11:40:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594221058, subwayLine=YUS, stationId=UNI1, trainId=121, trainMessage=Delayed, trainDirection=North, timeInt=6.1072211111111105, timeString=06.11, trainDestination=FIN1, createDate=Sun Sep 17 11:40:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594221059, subwayLine=YUS, stationId=KNG1, trainId=118, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:40:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594221060, subwayLine=YUS, stationId=KNG1, trainId=94, trainMessage=Arriving, trainDirection=North, timeInt=1.7018244444444444, timeString=01.70, trainDestination=FIN1, createDate=Sun Sep 17 11:40:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594221061, subwayLine=YUS, stationId=KNG1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=2.6733866666666666, timeString=02.67, trainDestination=FIN1, createDate=Sun Sep 17 11:40:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594221062, subwayLine=YUS, stationId=QUN1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=0.8256533333333334, timeString=00.83, trainDestination=FIN1, createDate=Sun Sep 17 11:40:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594221063, subwayLine=YUS, stationId=QUN1, trainId=94, trainMessage=Arriving, trainDirection=North, timeInt=2.527477777777778, timeString=02.53, trainDestination=FIN1, createDate=Sun Sep 17 11:40:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594221064, subwayLine=YUS, stationId=QUN1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=3.4990400000000004, timeString=03.50, trainDestination=FIN1, createDate=Sun Sep 17 11:40:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594221065, subwayLine=YUS, stationId=DUN1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=1.5801866666666666, timeString=01.58, trainDestination=FIN1, createDate=Sun Sep 17 11:40:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594221066, subwayLine=YUS, stationId=DUN1, trainId=94, trainMessage=Arriving, trainDirection=North, timeInt=3.282011111111111, timeString=03.28, trainDestination=FIN1, createDate=Sun Sep 17 11:40:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594221067, subwayLine=YUS, stationId=DUN1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=4.253573333333334, timeString=04.25, trainDestination=FIN1, createDate=Sun Sep 17 11:40:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594221068, subwayLine=YUS, stationId=COL1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=2.447044444444445, timeString=02.45, trainDestination=FIN1, createDate=Sun Sep 17 11:40:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594221069, subwayLine=YUS, stationId=COL1, trainId=94, trainMessage=Arriving, trainDirection=North, timeInt=4.148868888888889, timeString=04.15, trainDestination=FIN1, createDate=Sun Sep 17 11:40:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594221070, subwayLine=YUS, stationId=COL1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=5.120431111111111, timeString=05.12, trainDestination=FIN1, createDate=Sun Sep 17 11:40:25 EDT 2017, systemMessageType=Normal]
