NTASData [id=16593406025, subwayLine=YUS, stationId=DUN1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=3.282011111111111, timeString=03.28, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406026, subwayLine=YUS, stationId=COL1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=2.447044444444445, timeString=02.45, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406027, subwayLine=YUS, stationId=COL1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=4.148868888888889, timeString=04.15, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406028, subwayLine=YUS, stationId=WEL1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=3.3647022222222223, timeString=03.36, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406029, subwayLine=YUS, stationId=WEL1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=5.066526666666666, timeString=05.07, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406030, subwayLine=YUS, stationId=BLO1, trainId=108, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406031, subwayLine=YUS, stationId=BLO1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=4.319048888888888, timeString=04.32, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406032, subwayLine=YUS, stationId=BLO1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=6.020873333333332, timeString=06.02, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406033, subwayLine=YUS, stationId=ROS1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=1.3285733333333334, timeString=01.33, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406034, subwayLine=YUS, stationId=ROS1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=5.647622222222223, timeString=05.65, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406035, subwayLine=YUS, stationId=ROS1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=7.349446666666667, timeString=07.35, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406036, subwayLine=YUS, stationId=SUM1, trainId=107, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406037, subwayLine=YUS, stationId=SUM1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=2.357991111111111, timeString=02.36, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406038, subwayLine=YUS, stationId=SUM1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=6.67704, timeString=06.68, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406039, subwayLine=YUS, stationId=STC1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=1.40816, timeString=01.41, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406040, subwayLine=YUS, stationId=STC1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=3.7661511111111112, timeString=03.77, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406041, subwayLine=YUS, stationId=STC1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=8.0852, timeString=08.09, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406042, subwayLine=YUS, stationId=DAV1, trainId=106, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406043, subwayLine=YUS, stationId=DAV1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=3.4405955555555554, timeString=03.44, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406044, subwayLine=YUS, stationId=DAV1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=5.798586666666667, timeString=05.80, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406045, subwayLine=YUS, stationId=EGL1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=0.5480755555555555, timeString=00.55, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406046, subwayLine=YUS, stationId=EGL1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=1.6141822222222224, timeString=01.61, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406047, subwayLine=YUS, stationId=EGL1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=5.054777777777778, timeString=05.05, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406048, subwayLine=YUS, stationId=LAW1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=4.839982222222222, timeString=04.84, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406049, subwayLine=YUS, stationId=LAW1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=5.906088888888888, timeString=05.91, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406050, subwayLine=YUS, stationId=LAW1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=9.346684444444444, timeString=09.35, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406051, subwayLine=YUS, stationId=YKM1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=0.6841066666666666, timeString=00.68, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406052, subwayLine=YUS, stationId=YKM1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=8.354648888888889, timeString=08.35, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406053, subwayLine=YUS, stationId=YKM1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=9.420755555555557, timeString=09.42, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406054, subwayLine=YUS, stationId=SHP1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=1.1300177777777778, timeString=01.13, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406055, subwayLine=YUS, stationId=SHP1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=4.270457777777778, timeString=04.27, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406056, subwayLine=YUS, stationId=SHP1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=11.941, timeString=11.94, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406057, subwayLine=YUS, stationId=NYC1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=2.5912355555555555, timeString=02.59, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406058, subwayLine=YUS, stationId=NYC1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=5.7316755555555545, timeString=05.73, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406059, subwayLine=YUS, stationId=NYC1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=13.402217777777778, timeString=13.40, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406060, subwayLine=YUS, stationId=FIN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=5.198275555555555, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406061, subwayLine=YUS, stationId=FIN1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=8.338715555555554, timeString=08.34, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406062, subwayLine=YUS, stationId=FIN1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=16.009257777777776, timeString=16.01, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406063, subwayLine=YUS, stationId=FIN2, trainId=101, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406064, subwayLine=YUS, stationId=FIN2, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=5.198275555555555, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406065, subwayLine=YUS, stationId=FIN2, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=8.338715555555554, timeString=08.34, trainDestination=FIN1, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406066, subwayLine=YUS, stationId=LAW2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=2.431626666666667, timeString=02.43, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406067, subwayLine=YUS, stationId=EGL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=0.7281333333333333, timeString=00.73, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406068, subwayLine=YUS, stationId=EGL2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=6.7145022222222215, timeString=06.71, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406069, subwayLine=YUS, stationId=DAV2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=2.3377999999999997, timeString=02.34, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593406070, subwayLine=YUS, stationId=DAV2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=8.32416888888889, timeString=08.32, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
