NTASData [id=16594761748, subwayLine=BD, stationId=MST1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=1.9900952321981427, timeString=01.99, trainDestination=KEN1, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761749, subwayLine=BD, stationId=MST1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=5.244216594427245, timeString=05.24, trainDestination=KEN1, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761750, subwayLine=BD, stationId=MST1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=9.509981424148608, timeString=09.51, trainDestination=KEN1, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761751, subwayLine=BD, stationId=VPK1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=4.165618328173375, timeString=04.17, trainDestination=KEN1, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761752, subwayLine=BD, stationId=VPK1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=7.419739690402478, timeString=07.42, trainDestination=KEN1, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761753, subwayLine=BD, stationId=VPK1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=11.685504520123839, timeString=11.69, trainDestination=KEN1, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761754, subwayLine=BD, stationId=WAR1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=1.1751313931888545, timeString=01.18, trainDestination=KEN1, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761755, subwayLine=BD, stationId=WAR1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=8.107943405572756, timeString=08.11, trainDestination=KEN1, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761756, subwayLine=BD, stationId=WAR1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=11.36206476780186, timeString=11.36, trainDestination=KEN1, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761757, subwayLine=BD, stationId=KEN1, trainId=212, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761758, subwayLine=BD, stationId=KEN1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=6.2565384222910225, timeString=06.26, trainDestination=KEN1, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761759, subwayLine=BD, stationId=KEN1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=13.189350434674923, timeString=13.19, trainDestination=KEN1, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761760, subwayLine=BD, stationId=KEN2, trainId=211, trainMessage=Delayed, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761761, subwayLine=BD, stationId=KEN2, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=6.2565384222910225, timeString=06.26, trainDestination=KEN1, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761762, subwayLine=BD, stationId=KEN2, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=13.189350434674923, timeString=13.19, trainDestination=KEN1, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761763, subwayLine=BD, stationId=WAR2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=1.2365349102167185, timeString=01.24, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761764, subwayLine=BD, stationId=VPK2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=5.184635145510836, timeString=05.18, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761765, subwayLine=BD, stationId=MST2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=0.27686786377708983, timeString=00.28, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761766, subwayLine=BD, stationId=MST2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=7.424137931888546, timeString=07.42, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761767, subwayLine=BD, stationId=WDB2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=2.010761238390093, timeString=02.01, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761768, subwayLine=BD, stationId=WDB2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=9.15803130650155, timeString=09.16, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761769, subwayLine=BD, stationId=COX2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=3.318028978328174, timeString=03.32, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761770, subwayLine=BD, stationId=COX2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=10.465299046439629, timeString=10.47, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761771, subwayLine=BD, stationId=GWD2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=4.260952198142415, timeString=04.26, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761772, subwayLine=BD, stationId=GWD2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=11.408222266253873, timeString=11.41, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
