NTASData [id=16594432744, subwayLine=YUS, stationId=STP1, trainId=108, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432745, subwayLine=YUS, stationId=STP1, trainId=109, trainMessage=Delayed, trainDirection=North, timeInt=3.6153033333333333, timeString=03.62, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432746, subwayLine=YUS, stationId=STP1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=11.29893074074074, timeString=11.30, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432747, subwayLine=YUS, stationId=OSG1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=0.7511466666666666, timeString=00.75, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432748, subwayLine=YUS, stationId=OSG1, trainId=109, trainMessage=Delayed, trainDirection=North, timeInt=4.36645, timeString=04.37, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432749, subwayLine=YUS, stationId=OSG1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=12.050077407407407, timeString=12.05, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432750, subwayLine=YUS, stationId=STA1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=1.5849844444444445, timeString=01.58, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432751, subwayLine=YUS, stationId=STA1, trainId=109, trainMessage=Delayed, trainDirection=North, timeInt=5.200287777777778, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432752, subwayLine=YUS, stationId=STA1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=12.883915185185185, timeString=12.88, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432753, subwayLine=YUS, stationId=UNI1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=2.4919177777777777, timeString=02.49, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432754, subwayLine=YUS, stationId=UNI1, trainId=109, trainMessage=Delayed, trainDirection=North, timeInt=6.1072211111111105, timeString=06.11, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432755, subwayLine=YUS, stationId=UNI1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=13.79084851851852, timeString=13.79, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432756, subwayLine=YUS, stationId=KNG1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=3.286808888888889, timeString=03.29, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432757, subwayLine=YUS, stationId=KNG1, trainId=109, trainMessage=Delayed, trainDirection=North, timeInt=6.902112222222222, timeString=06.90, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432758, subwayLine=YUS, stationId=KNG1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=14.585739629629629, timeString=14.59, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432759, subwayLine=YUS, stationId=QUN1, trainId=107, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432760, subwayLine=YUS, stationId=QUN1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=4.112462222222222, timeString=04.11, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432761, subwayLine=YUS, stationId=QUN1, trainId=109, trainMessage=Delayed, trainDirection=North, timeInt=7.727765555555553, timeString=07.73, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432762, subwayLine=YUS, stationId=DUN1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=0.7545333333333333, timeString=00.75, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432763, subwayLine=YUS, stationId=DUN1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=4.8669955555555555, timeString=04.87, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
