NTASData [id=16594036027, subwayLine=YUS, stationId=SPA2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=1.1677066666666667, timeString=01.17, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036028, subwayLine=YUS, stationId=SPA2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=3.3347622222222224, timeString=03.33, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036029, subwayLine=YUS, stationId=SPA2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=7.107993333333333, timeString=07.11, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036030, subwayLine=YUS, stationId=DUP2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=2.1655155555555554, timeString=02.17, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036031, subwayLine=YUS, stationId=DUP2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=4.332571111111111, timeString=04.33, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036032, subwayLine=YUS, stationId=DUP2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=8.105802222222222, timeString=08.11, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036033, subwayLine=YUS, stationId=SCW2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=4.790053333333333, timeString=04.79, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036034, subwayLine=YUS, stationId=SCW2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=6.9571088888888895, timeString=06.96, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036035, subwayLine=YUS, stationId=SCW2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=10.73034, timeString=10.73, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036036, subwayLine=YUS, stationId=EGW2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=9.603224444444445, timeString=09.60, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036037, subwayLine=YUS, stationId=EGW2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=11.770280000000001, timeString=11.77, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036038, subwayLine=YUS, stationId=EGW2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=15.54351111111111, timeString=15.54, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036039, subwayLine=YUS, stationId=GCN2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=11.422864444444444, timeString=11.42, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036040, subwayLine=YUS, stationId=GCN2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=13.589920000000001, timeString=13.59, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036041, subwayLine=YUS, stationId=GCN2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=17.36315111111111, timeString=17.36, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036042, subwayLine=YUS, stationId=LWW2, trainId=192, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036043, subwayLine=YUS, stationId=LWW2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=12.786997777777778, timeString=12.79, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036044, subwayLine=YUS, stationId=LWW2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=14.954053333333334, timeString=14.95, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036045, subwayLine=YUS, stationId=YKD2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=2.0262266666666666, timeString=02.03, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036046, subwayLine=YUS, stationId=YKD2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=14.813224444444446, timeString=14.81, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036047, subwayLine=YUS, stationId=YKD2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=16.98028, timeString=16.98, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036048, subwayLine=YUS, stationId=WIL2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=4.04568, timeString=04.05, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036049, subwayLine=YUS, stationId=WIL2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=16.83267777777778, timeString=16.83, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036050, subwayLine=YUS, stationId=WIL2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=18.99973333333333, timeString=19.00, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036051, subwayLine=YUS, stationId=SHW2, trainId=125, trainMessage=Delayed, trainDirection=South, timeInt=0.44531481481481483, timeString=00.45, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036052, subwayLine=YUS, stationId=SHW2, trainId=126, trainMessage=Delayed, trainDirection=South, timeInt=1.7228703703703705, timeString=01.72, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594036053, subwayLine=YUS, stationId=SHW2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=2.607962962962963, timeString=02.61, trainDestination=SHW2, createDate=Sun Sep 17 11:26:43 EDT 2017, systemMessageType=Normal]
