NTASData [id=16592960370, subwayLine=YUS, stationId=OSG2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=8.09015111111111, timeString=08.09, trainDestination=MUS2, createDate=Sun Sep 17 10:08:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16592960371, subwayLine=YUS, stationId=STP2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=2.3759244444444447, timeString=02.38, trainDestination=MUS2, createDate=Sun Sep 17 10:08:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16592960372, subwayLine=YUS, stationId=STP2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=6.306764444444443, timeString=06.31, trainDestination=MUS2, createDate=Sun Sep 17 10:08:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16592960373, subwayLine=YUS, stationId=STP2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=8.84412, timeString=08.84, trainDestination=MUS2, createDate=Sun Sep 17 10:08:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16592960374, subwayLine=YUS, stationId=QPK2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=3.5182311111111115, timeString=03.52, trainDestination=MUS2, createDate=Sun Sep 17 10:08:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16592960375, subwayLine=YUS, stationId=QPK2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=7.44907111111111, timeString=07.45, trainDestination=MUS2, createDate=Sun Sep 17 10:08:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16592960376, subwayLine=YUS, stationId=QPK2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=9.986426666666667, timeString=09.99, trainDestination=MUS2, createDate=Sun Sep 17 10:08:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16592960377, subwayLine=YUS, stationId=MUS2, trainId=116, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:08:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16592960378, subwayLine=YUS, stationId=MUS2, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:08:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16592960379, subwayLine=YUS, stationId=MUS2, trainId=102, trainMessage=AtStation, trainDirection=North, timeInt=1.2019966666666666, timeString=01.20, trainDestination=MUS1, createDate=Sun Sep 17 10:08:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16592960380, subwayLine=YUS, stationId=MUS1, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:08:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16592960381, subwayLine=YUS, stationId=MUS1, trainId=102, trainMessage=AtStation, trainDirection=North, timeInt=1.2019966666666666, timeString=01.20, trainDestination=MUS1, createDate=Sun Sep 17 10:08:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16592960382, subwayLine=YUS, stationId=MUS1, trainId=103, trainMessage=Arriving, trainDirection=North, timeInt=2.0766033333333334, timeString=02.08, trainDestination=MUS1, createDate=Sun Sep 17 10:08:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16592960383, subwayLine=YUS, stationId=WEL1, trainId=101, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:08:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16592960384, subwayLine=YUS, stationId=BLO1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=0.9543466666666667, timeString=00.95, trainDestination=FIN1, createDate=Sun Sep 17 10:08:30 EDT 2017, systemMessageType=Normal]
