NTASData [id=16594022326, subwayLine=YUS, stationId=YKD2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=17.490973333333333, timeString=17.49, trainDestination=SHW2, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022327, subwayLine=YUS, stationId=WIL2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=4.04568, timeString=04.05, trainDestination=SHW2, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022328, subwayLine=YUS, stationId=WIL2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=17.7372, timeString=17.74, trainDestination=SHW2, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022329, subwayLine=YUS, stationId=WIL2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=19.510426666666667, timeString=19.51, trainDestination=SHW2, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022330, subwayLine=YUS, stationId=SHW2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=0.44531481481481483, timeString=00.45, trainDestination=SHW2, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022331, subwayLine=YUS, stationId=SHW2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=1.7228703703703705, timeString=01.72, trainDestination=SHW2, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022332, subwayLine=YUS, stationId=SHW2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=3.0164814814814815, timeString=03.02, trainDestination=SHW2, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022333, subwayLine=YUS, stationId=SHW1, trainId=532, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022334, subwayLine=YUS, stationId=SHW1, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=0.44531481481481483, timeString=00.45, trainDestination=SHW2, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022335, subwayLine=YUS, stationId=SHW1, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=1.7228703703703705, timeString=01.72, trainDestination=SHW2, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022336, subwayLine=YUS, stationId=WIL1, trainId=123, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022337, subwayLine=YUS, stationId=WIL1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=3.4913132444444446, timeString=03.49, trainDestination=FIN1, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022338, subwayLine=YUS, stationId=YKD1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=1.0103555555555555, timeString=01.01, trainDestination=FIN1, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022339, subwayLine=YUS, stationId=YKD1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=2.015502222222222, timeString=02.02, trainDestination=FIN1, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022340, subwayLine=YUS, stationId=YKD1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=5.506815466666667, timeString=05.51, trainDestination=FIN1, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022341, subwayLine=YUS, stationId=LWW1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=1.5437407407407409, timeString=01.54, trainDestination=FIN1, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022342, subwayLine=YUS, stationId=LWW1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=3.02868, timeString=03.03, trainDestination=FIN1, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022343, subwayLine=YUS, stationId=LWW1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=4.033826666666666, timeString=04.03, trainDestination=FIN1, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022344, subwayLine=YUS, stationId=GCN1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=2.9022296296296295, timeString=02.90, trainDestination=FIN1, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022345, subwayLine=YUS, stationId=GCN1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=4.38716888888889, timeString=04.39, trainDestination=FIN1, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022346, subwayLine=YUS, stationId=GCN1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=5.392315555555555, timeString=05.39, trainDestination=FIN1, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022347, subwayLine=YUS, stationId=EGW1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=1.333611111111111, timeString=01.33, trainDestination=FIN1, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022348, subwayLine=YUS, stationId=EGW1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=4.722434074074074, timeString=04.72, trainDestination=FIN1, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022349, subwayLine=YUS, stationId=EGW1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=6.207373333333333, timeString=06.21, trainDestination=FIN1, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022350, subwayLine=YUS, stationId=SCW1, trainId=194, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594022351, subwayLine=YUS, stationId=SCW1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=3.5700555555555553, timeString=03.57, trainDestination=FIN1, createDate=Sun Sep 17 11:25:42 EDT 2017, systemMessageType=Normal]
