NTASData [id=16594789094, subwayLine=YUS, stationId=EGL1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=6.968115555555556, timeString=06.97, trainDestination=FIN1, createDate=Sun Sep 17 12:24:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594789095, subwayLine=YUS, stationId=LAW1, trainId=109, trainMessage=Delayed, trainDirection=North, timeInt=4.291906666666667, timeString=04.29, trainDestination=FIN1, createDate=Sun Sep 17 12:24:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594789096, subwayLine=YUS, stationId=LAW1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=7.229146666666666, timeString=07.23, trainDestination=FIN1, createDate=Sun Sep 17 12:24:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594789097, subwayLine=YUS, stationId=LAW1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=11.260022222222222, timeString=11.26, trainDestination=FIN1, createDate=Sun Sep 17 12:24:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594789098, subwayLine=YUS, stationId=YKM1, trainId=109, trainMessage=Delayed, trainDirection=North, timeInt=7.806573333333333, timeString=07.81, trainDestination=FIN1, createDate=Sun Sep 17 12:24:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594789099, subwayLine=YUS, stationId=YKM1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=10.743813333333334, timeString=10.74, trainDestination=FIN1, createDate=Sun Sep 17 12:24:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594789100, subwayLine=YUS, stationId=YKM1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=14.774688888888887, timeString=14.77, trainDestination=FIN1, createDate=Sun Sep 17 12:24:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594789101, subwayLine=YUS, stationId=SHP1, trainId=107, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:24:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594789102, subwayLine=YUS, stationId=SHP1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=2.5862844444444444, timeString=02.59, trainDestination=FIN1, createDate=Sun Sep 17 12:24:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594789103, subwayLine=YUS, stationId=SHP1, trainId=109, trainMessage=Delayed, trainDirection=North, timeInt=11.392924444444445, timeString=11.39, trainDestination=FIN1, createDate=Sun Sep 17 12:24:00 EDT 2017, systemMessageType=Normal]
