NTASData [id=16595218998, subwayLine=YUS, stationId=SHW2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=2.1653148148148147, timeString=02.17, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218999, subwayLine=YUS, stationId=SHW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=21.42027333333333, timeString=21.42, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219000, subwayLine=YUS, stationId=SHW1, trainId=117, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219001, subwayLine=YUS, stationId=SHW1, trainId=532, trainMessage=Arriving, trainDirection=South, timeInt=0.5888703703703704, timeString=00.59, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219002, subwayLine=YUS, stationId=SHW1, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=2.1653148148148147, timeString=02.17, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219003, subwayLine=YUS, stationId=WIL1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=0.5053132444444444, timeString=00.51, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219004, subwayLine=YUS, stationId=WIL1, trainId=999, trainMessage=Arriving, trainDirection=North, timeInt=2.400053985185185, timeString=02.40, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219005, subwayLine=YUS, stationId=WIL1, trainId=127, trainMessage=Delayed, trainDirection=North, timeInt=2.400053985185185, timeString=02.40, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219006, subwayLine=YUS, stationId=YKD1, trainId=196, trainMessage=Arriving, trainDirection=North, timeInt=0.28786666666666666, timeString=00.29, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219007, subwayLine=YUS, stationId=YKD1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=1.3716, timeString=01.37, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219008, subwayLine=YUS, stationId=YKD1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=2.5208154666666664, timeString=02.52, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219009, subwayLine=YUS, stationId=LWW1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=0.4872222222222223, timeString=00.49, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219010, subwayLine=YUS, stationId=LWW1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=1.0154814814814814, timeString=01.02, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219011, subwayLine=YUS, stationId=LWW1, trainId=196, trainMessage=Arriving, trainDirection=North, timeInt=2.306191111111111, timeString=02.31, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219012, subwayLine=YUS, stationId=GCN1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=0.7222037037037037, timeString=00.72, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219013, subwayLine=YUS, stationId=GCN1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=1.1973333333333331, timeString=01.20, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219014, subwayLine=YUS, stationId=GCN1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=1.845711111111111, timeString=01.85, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219015, subwayLine=YUS, stationId=EGW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=1.333611111111111, timeString=01.33, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219016, subwayLine=YUS, stationId=EGW1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=2.5424081481481484, timeString=02.54, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219017, subwayLine=YUS, stationId=EGW1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=3.0175377777777777, timeString=03.02, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
