NTASData [id=16594688220, subwayLine=YUS, stationId=ROS2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=9.84396, timeString=09.84, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688221, subwayLine=YUS, stationId=ROS2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=16.85918222222222, timeString=16.86, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688222, subwayLine=YUS, stationId=BLO2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=1.5899111111111113, timeString=01.59, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688223, subwayLine=YUS, stationId=BLO2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=11.17196888888889, timeString=11.17, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688224, subwayLine=YUS, stationId=BLO2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=18.18719111111111, timeString=18.19, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688225, subwayLine=YUS, stationId=WEL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=2.544257777777778, timeString=02.54, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688226, subwayLine=YUS, stationId=WEL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=12.126315555555554, timeString=12.13, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688227, subwayLine=YUS, stationId=WEL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=19.141537777777774, timeString=19.14, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688228, subwayLine=YUS, stationId=COL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=3.4737688888888894, timeString=03.47, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688229, subwayLine=YUS, stationId=COL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=13.055826666666666, timeString=13.06, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688230, subwayLine=YUS, stationId=COL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=20.071048888888885, timeString=20.07, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688231, subwayLine=YUS, stationId=DUN2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=4.340626666666667, timeString=04.34, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
