NTASData [id=16595136032, subwayLine=YUS, stationId=SCW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=9.803651111111112, timeString=09.80, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136033, subwayLine=YUS, stationId=SCW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=11.929091111111111, timeString=11.93, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136034, subwayLine=YUS, stationId=EGW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=10.183304, timeString=10.18, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136035, subwayLine=YUS, stationId=EGW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=14.616822222222224, timeString=14.62, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136036, subwayLine=YUS, stationId=EGW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=16.742262222222223, timeString=16.74, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136037, subwayLine=YUS, stationId=GCN2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=12.002944, timeString=12.00, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136038, subwayLine=YUS, stationId=GCN2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=16.43646222222222, timeString=16.44, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136039, subwayLine=YUS, stationId=GCN2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=18.561902222222223, timeString=18.56, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136040, subwayLine=YUS, stationId=LWW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=13.367077333333333, timeString=13.37, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136041, subwayLine=YUS, stationId=LWW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=17.800595555555557, timeString=17.80, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
