NTASData [id=16594823169, subwayLine=YUS, stationId=QPK2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=3.5182311111111115, timeString=03.52, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823170, subwayLine=YUS, stationId=QPK2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=8.658417777777778, timeString=08.66, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823171, subwayLine=YUS, stationId=QPK2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=16.05820444444444, timeString=16.06, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823172, subwayLine=YUS, stationId=MUS2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=4.780764444444444, timeString=04.78, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823173, subwayLine=YUS, stationId=MUS2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=9.920951111111112, timeString=09.92, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823174, subwayLine=YUS, stationId=MUS2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=17.320737777777776, timeString=17.32, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823175, subwayLine=YUS, stationId=SGU2, trainId=16, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823176, subwayLine=YUS, stationId=SGU2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=5.940286666666665, timeString=05.94, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823177, subwayLine=YUS, stationId=SGU2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=11.080473333333334, timeString=11.08, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823178, subwayLine=YUS, stationId=SPA2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=1.1677066666666667, timeString=01.17, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823179, subwayLine=YUS, stationId=SPA2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=7.107993333333333, timeString=07.11, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823180, subwayLine=YUS, stationId=SPA2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=12.248180000000001, timeString=12.25, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823181, subwayLine=YUS, stationId=DUP2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=2.1655155555555554, timeString=02.17, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823182, subwayLine=YUS, stationId=DUP2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=8.105802222222222, timeString=08.11, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823183, subwayLine=YUS, stationId=DUP2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=13.245988888888888, timeString=13.25, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823184, subwayLine=YUS, stationId=SCW2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=0.27375925925925926, timeString=00.27, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823185, subwayLine=YUS, stationId=SCW2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=4.790053333333333, timeString=04.79, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823186, subwayLine=YUS, stationId=SCW2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=10.73034, timeString=10.73, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823187, subwayLine=YUS, stationId=EGW2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=0.27774074074074073, timeString=00.28, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823188, subwayLine=YUS, stationId=EGW2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=5.0869303703703705, timeString=05.09, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823189, subwayLine=YUS, stationId=EGW2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=9.603224444444445, timeString=09.60, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823190, subwayLine=YUS, stationId=GCN2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=2.097380740740741, timeString=02.10, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823191, subwayLine=YUS, stationId=GCN2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=6.90657037037037, timeString=06.91, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823192, subwayLine=YUS, stationId=GCN2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=11.422864444444444, timeString=11.42, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823193, subwayLine=YUS, stationId=LWW2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=3.461514074074074, timeString=03.46, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823194, subwayLine=YUS, stationId=LWW2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=8.270703703703704, timeString=08.27, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16594823195, subwayLine=YUS, stationId=LWW2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=12.786997777777778, timeString=12.79, trainDestination=SHW2, createDate=Sun Sep 17 12:26:42 EDT 2017, systemMessageType=Normal]
