NTASData [id=16594702758, subwayLine=YUS, stationId=STC1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=8.0852, timeString=08.09, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702759, subwayLine=YUS, stationId=DAV1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=2.0324355555555558, timeString=02.03, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702760, subwayLine=YUS, stationId=DAV1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=6.497933333333332, timeString=06.50, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702761, subwayLine=YUS, stationId=DAV1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=10.117635555555555, timeString=10.12, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702762, subwayLine=YUS, stationId=EGL1, trainId=108, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702763, subwayLine=YUS, stationId=EGL1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=3.646617777777778, timeString=03.65, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702764, subwayLine=YUS, stationId=EGL1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=8.112115555555555, timeString=08.11, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702765, subwayLine=YUS, stationId=LAW1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=0.6558844444444444, timeString=00.66, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702766, subwayLine=YUS, stationId=LAW1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=4.291906666666667, timeString=04.29, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702767, subwayLine=YUS, stationId=LAW1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=7.938524444444444, timeString=07.94, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702768, subwayLine=YUS, stationId=YKM1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=4.170551111111112, timeString=04.17, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702769, subwayLine=YUS, stationId=YKM1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=7.806573333333333, timeString=07.81, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702770, subwayLine=YUS, stationId=YKM1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=11.453191111111112, timeString=11.45, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702771, subwayLine=YUS, stationId=SHP1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=1.525128888888889, timeString=01.53, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702772, subwayLine=YUS, stationId=SHP1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=7.756902222222221, timeString=07.76, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702773, subwayLine=YUS, stationId=SHP1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=11.392924444444445, timeString=11.39, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702774, subwayLine=YUS, stationId=NYC1, trainId=119, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702775, subwayLine=YUS, stationId=NYC1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=2.986346666666667, timeString=02.99, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702776, subwayLine=YUS, stationId=NYC1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=9.21812, timeString=09.22, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702777, subwayLine=YUS, stationId=FIN1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=2.60704, timeString=02.61, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702778, subwayLine=YUS, stationId=FIN1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=5.5933866666666665, timeString=05.59, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702779, subwayLine=YUS, stationId=FIN1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=11.82516, timeString=11.83, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702780, subwayLine=YUS, stationId=FIN2, trainId=118, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702781, subwayLine=YUS, stationId=FIN2, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=2.60704, timeString=02.61, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702782, subwayLine=YUS, stationId=FIN2, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=5.5933866666666665, timeString=05.59, trainDestination=FIN1, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702783, subwayLine=YUS, stationId=YKM2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=1.4986000000000002, timeString=01.50, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702784, subwayLine=YUS, stationId=LAW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=5.011573333333333, timeString=05.01, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702785, subwayLine=YUS, stationId=EGL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=2.4101777777777778, timeString=02.41, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702786, subwayLine=YUS, stationId=EGL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=9.294448888888889, timeString=09.29, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702787, subwayLine=YUS, stationId=DAV2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=4.019844444444445, timeString=04.02, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702788, subwayLine=YUS, stationId=DAV2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=10.904115555555554, timeString=10.90, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702789, subwayLine=YUS, stationId=STC2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=6.059053333333333, timeString=06.06, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702790, subwayLine=YUS, stationId=STC2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=12.943324444444443, timeString=12.94, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702791, subwayLine=YUS, stationId=SUM2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=7.463262222222222, timeString=07.46, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702792, subwayLine=YUS, stationId=SUM2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=14.347533333333331, timeString=14.35, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702793, subwayLine=YUS, stationId=ROS2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=8.481955555555556, timeString=08.48, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702794, subwayLine=YUS, stationId=ROS2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=15.366226666666664, timeString=15.37, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702795, subwayLine=YUS, stationId=BLO2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=1.073008888888889, timeString=01.07, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702796, subwayLine=YUS, stationId=BLO2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=9.809964444444445, timeString=09.81, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702797, subwayLine=YUS, stationId=BLO2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=16.69423555555555, timeString=16.69, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702798, subwayLine=YUS, stationId=WEL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=2.0273555555555554, timeString=02.03, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702799, subwayLine=YUS, stationId=WEL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=10.76431111111111, timeString=10.76, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702800, subwayLine=YUS, stationId=WEL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=17.64858222222222, timeString=17.65, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702801, subwayLine=YUS, stationId=COL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=2.9568666666666665, timeString=02.96, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702802, subwayLine=YUS, stationId=COL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=11.69382222222222, timeString=11.69, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702803, subwayLine=YUS, stationId=COL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=18.57809333333333, timeString=18.58, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702804, subwayLine=YUS, stationId=DUN2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=3.8237244444444447, timeString=03.82, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702805, subwayLine=YUS, stationId=DUN2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=12.56068, timeString=12.56, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702806, subwayLine=YUS, stationId=DUN2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=19.444951111111113, timeString=19.44, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702807, subwayLine=YUS, stationId=QUN2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=4.5805155555555555, timeString=04.58, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702808, subwayLine=YUS, stationId=QUN2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=13.31747111111111, timeString=13.32, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702809, subwayLine=YUS, stationId=QUN2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=20.201742222222222, timeString=20.20, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702810, subwayLine=YUS, stationId=KNG2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=5.406168888888889, timeString=05.41, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702811, subwayLine=YUS, stationId=KNG2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=14.143124444444442, timeString=14.14, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702812, subwayLine=YUS, stationId=KNG2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=21.027395555555554, timeString=21.03, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702813, subwayLine=YUS, stationId=UNI2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=0.5520266666666667, timeString=00.55, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702814, subwayLine=YUS, stationId=UNI2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=6.213195555555556, timeString=06.21, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594702815, subwayLine=YUS, stationId=UNI2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=14.95015111111111, timeString=14.95, trainDestination=SHW2, createDate=Sun Sep 17 12:17:17 EDT 2017, systemMessageType=Normal]
