NTASData [id=16593630801, subwayLine=YUS, stationId=EGL1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=10.151631111111111, timeString=10.15, trainDestination=FIN1, createDate=Sun Sep 17 10:56:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630802, subwayLine=YUS, stationId=LAW1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=0.3031066666666667, timeString=00.30, trainDestination=FIN1, createDate=Sun Sep 17 10:56:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630803, subwayLine=YUS, stationId=LAW1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=4.291906666666667, timeString=04.29, trainDestination=FIN1, createDate=Sun Sep 17 10:56:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630804, subwayLine=YUS, stationId=LAW1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=10.376102222222222, timeString=10.38, trainDestination=FIN1, createDate=Sun Sep 17 10:56:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630805, subwayLine=YUS, stationId=YKM1, trainId=106, trainMessage=Delayed, trainDirection=North, timeInt=0.7021688888888888, timeString=00.70, trainDestination=FIN1, createDate=Sun Sep 17 10:56:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630806, subwayLine=YUS, stationId=YKM1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=3.8177733333333332, timeString=03.82, trainDestination=FIN1, createDate=Sun Sep 17 10:56:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630807, subwayLine=YUS, stationId=YKM1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=7.806573333333333, timeString=07.81, trainDestination=FIN1, createDate=Sun Sep 17 10:56:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630808, subwayLine=YUS, stationId=SHP1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=2.0895733333333335, timeString=02.09, trainDestination=FIN1, createDate=Sun Sep 17 10:56:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630809, subwayLine=YUS, stationId=SHP1, trainId=106, trainMessage=Delayed, trainDirection=North, timeInt=4.28852, timeString=04.29, trainDestination=FIN1, createDate=Sun Sep 17 10:56:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630810, subwayLine=YUS, stationId=SHP1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=7.404124444444443, timeString=07.40, trainDestination=FIN1, createDate=Sun Sep 17 10:56:33 EDT 2017, systemMessageType=Normal]
