NTASData [id=16593674189, subwayLine=YUS, stationId=EGL1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=3.646617777777778, timeString=03.65, trainDestination=FIN1, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674190, subwayLine=YUS, stationId=EGL1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=7.686524444444444, timeString=07.69, trainDestination=FIN1, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674191, subwayLine=YUS, stationId=EGL1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=9.896631111111112, timeString=09.90, trainDestination=FIN1, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674192, subwayLine=YUS, stationId=LAW1, trainId=110, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674193, subwayLine=YUS, stationId=LAW1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=7.938524444444444, timeString=07.94, trainDestination=FIN1, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674194, subwayLine=YUS, stationId=LAW1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=11.978431111111112, timeString=11.98, trainDestination=FIN1, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674195, subwayLine=YUS, stationId=YKM1, trainId=109, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674196, subwayLine=YUS, stationId=YKM1, trainId=106, trainMessage=Delayed, trainDirection=North, timeInt=0.7021688888888888, timeString=00.70, trainDestination=FIN1, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674197, subwayLine=YUS, stationId=YKM1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=3.514666666666667, timeString=03.51, trainDestination=FIN1, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674198, subwayLine=YUS, stationId=SHP1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=3.586351111111111, timeString=03.59, trainDestination=FIN1, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674199, subwayLine=YUS, stationId=SHP1, trainId=106, trainMessage=Delayed, trainDirection=North, timeInt=4.28852, timeString=04.29, trainDestination=FIN1, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674200, subwayLine=YUS, stationId=SHP1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=7.101017777777777, timeString=07.10, trainDestination=FIN1, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674201, subwayLine=YUS, stationId=NYC1, trainId=108, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
