NTASData [id=16595185572, subwayLine=YUS, stationId=SHW2, trainId=532, trainMessage=Delayed, trainDirection=South, timeInt=1.7228703703703705, timeString=01.72, trainDestination=SHW2, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185573, subwayLine=YUS, stationId=SHW2, trainId=16, trainMessage=Delayed, trainDirection=South, timeInt=2.607962962962963, timeString=02.61, trainDestination=SHW2, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185574, subwayLine=YUS, stationId=SHW1, trainId=117, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185575, subwayLine=YUS, stationId=SHW1, trainId=532, trainMessage=Delayed, trainDirection=South, timeInt=1.7228703703703705, timeString=01.72, trainDestination=SHW2, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185576, subwayLine=YUS, stationId=SHW1, trainId=16, trainMessage=Delayed, trainDirection=South, timeInt=2.607962962962963, timeString=02.61, trainDestination=SHW2, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185577, subwayLine=YUS, stationId=WIL1, trainId=5, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185578, subwayLine=YUS, stationId=WIL1, trainId=115, trainMessage=Delayed, trainDirection=North, timeInt=0.5163132444444444, timeString=00.52, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185579, subwayLine=YUS, stationId=WIL1, trainId=999, trainMessage=Arriving, trainDirection=North, timeInt=2.400053985185185, timeString=02.40, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185580, subwayLine=YUS, stationId=YKD1, trainId=106, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185581, subwayLine=YUS, stationId=YKD1, trainId=196, trainMessage=Arriving, trainDirection=North, timeInt=1.0103555555555555, timeString=01.01, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185582, subwayLine=YUS, stationId=YKD1, trainId=5, trainMessage=Delayed, trainDirection=North, timeInt=2.015502222222222, timeString=02.02, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185583, subwayLine=YUS, stationId=LWW1, trainId=128, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185584, subwayLine=YUS, stationId=LWW1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=0.4872222222222223, timeString=00.49, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185585, subwayLine=YUS, stationId=LWW1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=1.0154814814814814, timeString=01.02, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185586, subwayLine=YUS, stationId=GCN1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=0.7222037037037037, timeString=00.72, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
