NTASData [id=16594584628, subwayLine=YUS, stationId=COL2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=2.6571466666666668, timeString=02.66, trainDestination=SHW2, createDate=Sun Sep 17 12:08:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594584629, subwayLine=YUS, stationId=COL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=12.348577777777777, timeString=12.35, trainDestination=SHW2, createDate=Sun Sep 17 12:08:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594584630, subwayLine=YUS, stationId=COL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=21.865853333333334, timeString=21.87, trainDestination=SHW2, createDate=Sun Sep 17 12:08:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594584631, subwayLine=YUS, stationId=DUN2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=0.39398222222222223, timeString=00.39, trainDestination=SHW2, createDate=Sun Sep 17 12:08:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594584632, subwayLine=YUS, stationId=DUN2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=3.5240044444444445, timeString=03.52, trainDestination=SHW2, createDate=Sun Sep 17 12:08:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594584633, subwayLine=YUS, stationId=DUN2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=13.215435555555555, timeString=13.22, trainDestination=SHW2, createDate=Sun Sep 17 12:08:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594584634, subwayLine=YUS, stationId=QUN2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=1.1507733333333334, timeString=01.15, trainDestination=SHW2, createDate=Sun Sep 17 12:08:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594584635, subwayLine=YUS, stationId=QUN2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=4.280795555555556, timeString=04.28, trainDestination=SHW2, createDate=Sun Sep 17 12:08:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594584636, subwayLine=YUS, stationId=QUN2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=13.972226666666668, timeString=13.97, trainDestination=SHW2, createDate=Sun Sep 17 12:08:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594584637, subwayLine=YUS, stationId=KNG2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=1.9764266666666668, timeString=01.98, trainDestination=SHW2, createDate=Sun Sep 17 12:08:07 EDT 2017, systemMessageType=Normal]
