NTASData [id=16593341151, subwayLine=BD, stationId=CHR1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=4.972116066873065, timeString=04.97, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341152, subwayLine=BD, stationId=CHR1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=9.664182271207432, timeString=09.66, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341153, subwayLine=BD, stationId=BAT1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=1.6900134984520125, timeString=01.69, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341154, subwayLine=BD, stationId=BAT1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=5.955522011145511, timeString=05.96, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341155, subwayLine=BD, stationId=BAT1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=10.647588215479876, timeString=10.65, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341156, subwayLine=BD, stationId=BSP1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=2.6241607430340563, timeString=02.62, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341157, subwayLine=BD, stationId=BSP1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=6.889669255727554, timeString=06.89, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341158, subwayLine=BD, stationId=BSP1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=11.58173546006192, timeString=11.58, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341159, subwayLine=BD, stationId=SGL1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=3.534811021671827, timeString=03.53, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341160, subwayLine=BD, stationId=SGL1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=7.800319534365325, timeString=07.80, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341161, subwayLine=BD, stationId=SGL1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=12.492385738699692, timeString=12.49, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341162, subwayLine=BD, stationId=BAU1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=0.8366901547987617, timeString=00.84, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341163, subwayLine=BD, stationId=BAU1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=4.626501176470589, timeString=04.63, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341164, subwayLine=BD, stationId=BAU1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=8.892009689164087, timeString=08.89, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341165, subwayLine=BD, stationId=YNG1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=1.6369330030959754, timeString=01.64, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341166, subwayLine=BD, stationId=YNG1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=5.426744024767803, timeString=05.43, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341167, subwayLine=BD, stationId=YNG1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=9.6922525374613, timeString=09.69, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341168, subwayLine=BD, stationId=SHE1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=2.956373869969041, timeString=02.96, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341169, subwayLine=BD, stationId=SHE1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=6.746184891640867, timeString=06.75, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341170, subwayLine=BD, stationId=SHE1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=11.011693404334364, timeString=11.01, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341171, subwayLine=BD, stationId=CFK1, trainId=216, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341172, subwayLine=BD, stationId=CFK1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=3.994417337461301, timeString=03.99, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341173, subwayLine=BD, stationId=CFK1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=7.784228359133127, timeString=07.78, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341174, subwayLine=BD, stationId=BRD1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=1.5745103405572758, timeString=01.57, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341175, subwayLine=BD, stationId=BRD1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=5.568927678018577, timeString=05.57, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341176, subwayLine=BD, stationId=BRD1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=9.358738699690404, timeString=09.36, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341177, subwayLine=BD, stationId=CHE1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=2.612978452012384, timeString=02.61, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341178, subwayLine=BD, stationId=CHE1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=6.607395789473685, timeString=06.61, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341179, subwayLine=BD, stationId=CHE1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=10.397206811145512, timeString=10.40, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341180, subwayLine=BD, stationId=PAP1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=3.5820880495356042, timeString=03.58, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341181, subwayLine=BD, stationId=PAP1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=7.576505386996905, timeString=07.58, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341182, subwayLine=BD, stationId=PAP1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=11.366316408668732, timeString=11.37, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341183, subwayLine=BD, stationId=DON1, trainId=215, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341184, subwayLine=BD, stationId=DON1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=4.520764829721363, timeString=04.52, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341185, subwayLine=BD, stationId=DON1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=8.515182167182664, timeString=08.52, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341186, subwayLine=BD, stationId=GWD1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=1.1297665634674923, timeString=01.13, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341187, subwayLine=BD, stationId=GWD1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=5.650531393188855, timeString=05.65, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341188, subwayLine=BD, stationId=GWD1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=9.644948730650157, timeString=09.64, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341189, subwayLine=BD, stationId=COX1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=2.084013622291022, timeString=02.08, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593341190, subwayLine=BD, stationId=COX1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=6.6047784520123844, timeString=06.60, trainDestination=KEN1, createDate=Sun Sep 17 10:34:46 EDT 2017, systemMessageType=Normal]
