NTASData [id=16594559542, subwayLine=YUS, stationId=EGL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=4.282875555555555, timeString=04.28, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559543, subwayLine=YUS, stationId=EGL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=14.434586666666664, timeString=14.43, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559544, subwayLine=YUS, stationId=DAV2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=5.892542222222222, timeString=05.89, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559545, subwayLine=YUS, stationId=DAV2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=16.044253333333334, timeString=16.04, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559546, subwayLine=YUS, stationId=STC2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=7.931751111111111, timeString=07.93, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559547, subwayLine=YUS, stationId=STC2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=18.083462222222224, timeString=18.08, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559548, subwayLine=YUS, stationId=SUM2, trainId=16, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559549, subwayLine=YUS, stationId=SUM2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=9.33596, timeString=09.34, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559550, subwayLine=YUS, stationId=SUM2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=19.487671111111112, timeString=19.49, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559551, subwayLine=YUS, stationId=ROS2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=1.0186933333333332, timeString=01.02, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559552, subwayLine=YUS, stationId=ROS2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=10.354653333333335, timeString=10.35, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559553, subwayLine=YUS, stationId=ROS2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=20.506364444444444, timeString=20.51, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559554, subwayLine=YUS, stationId=BLO2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=2.3467022222222225, timeString=02.35, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559555, subwayLine=YUS, stationId=BLO2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=11.682662222222222, timeString=11.68, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559556, subwayLine=YUS, stationId=BLO2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=21.834373333333332, timeString=21.83, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
