NTASData [id=16595125878, subwayLine=YUS, stationId=LWW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=18.23789888888889, timeString=18.24, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125879, subwayLine=YUS, stationId=LWW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=20.359964444444444, timeString=20.36, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125880, subwayLine=YUS, stationId=YKD2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=15.972746666666666, timeString=15.97, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125881, subwayLine=YUS, stationId=YKD2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=20.264125555555555, timeString=20.26, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125882, subwayLine=YUS, stationId=YKD2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=22.38619111111111, timeString=22.39, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125883, subwayLine=YUS, stationId=WIL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=17.9922, timeString=17.99, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125884, subwayLine=YUS, stationId=WIL2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=22.283578888888886, timeString=22.28, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125885, subwayLine=YUS, stationId=WIL2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=24.40564444444444, timeString=24.41, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125886, subwayLine=YUS, stationId=SHW2, trainId=113, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125887, subwayLine=YUS, stationId=SHW2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=1.1855925925925928, timeString=01.19, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125888, subwayLine=YUS, stationId=SHW2, trainId=532, trainMessage=Arriving, trainDirection=South, timeInt=2.607962962962963, timeString=02.61, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125889, subwayLine=YUS, stationId=SHW1, trainId=999, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125890, subwayLine=YUS, stationId=SHW1, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=1.1855925925925928, timeString=01.19, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125891, subwayLine=YUS, stationId=SHW1, trainId=532, trainMessage=Arriving, trainDirection=South, timeInt=2.607962962962963, timeString=02.61, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
