NTASData [id=16593936650, subwayLine=YUS, stationId=GCN2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=4.844417777777778, timeString=04.84, trainDestination=SHW2, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936651, subwayLine=YUS, stationId=GCN2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=12.159182222222224, timeString=12.16, trainDestination=SHW2, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936652, subwayLine=YUS, stationId=GCN2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=17.068640000000002, timeString=17.07, trainDestination=SHW2, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936653, subwayLine=YUS, stationId=LWW2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=1.1825740740740742, timeString=01.18, trainDestination=SHW2, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936654, subwayLine=YUS, stationId=LWW2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=6.2085511111111105, timeString=06.21, trainDestination=SHW2, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936655, subwayLine=YUS, stationId=LWW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=13.523315555555556, timeString=13.52, trainDestination=SHW2, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936656, subwayLine=YUS, stationId=YKD2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=3.208800740740741, timeString=03.21, trainDestination=SHW2, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936657, subwayLine=YUS, stationId=YKD2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=8.23477777777778, timeString=08.23, trainDestination=SHW2, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936658, subwayLine=YUS, stationId=YKD2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=15.549542222222223, timeString=15.55, trainDestination=SHW2, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936659, subwayLine=YUS, stationId=WIL2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=1.23952, timeString=01.24, trainDestination=SHW2, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936660, subwayLine=YUS, stationId=WIL2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=5.228254074074074, timeString=05.23, trainDestination=SHW2, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936661, subwayLine=YUS, stationId=WIL2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=10.25423111111111, timeString=10.25, trainDestination=SHW2, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936662, subwayLine=YUS, stationId=SHW2, trainId=123, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936663, subwayLine=YUS, stationId=SHW2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=0.44531481481481483, timeString=00.45, trainDestination=SHW2, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936664, subwayLine=YUS, stationId=SHW2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=1.7228703703703705, timeString=01.72, trainDestination=SHW2, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936665, subwayLine=YUS, stationId=SHW1, trainId=532, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936666, subwayLine=YUS, stationId=SHW1, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=0.44531481481481483, timeString=00.45, trainDestination=SHW2, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936667, subwayLine=YUS, stationId=SHW1, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=1.7228703703703705, timeString=01.72, trainDestination=SHW2, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936668, subwayLine=YUS, stationId=WIL1, trainId=121, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936669, subwayLine=YUS, stationId=WIL1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=0.8368688, timeString=00.84, trainDestination=FIN1, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936670, subwayLine=YUS, stationId=WIL1, trainId=122, trainMessage=Delayed, trainDirection=North, timeInt=2.7868502814814815, timeString=02.79, trainDestination=FIN1, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936671, subwayLine=YUS, stationId=YKD1, trainId=119, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936672, subwayLine=YUS, stationId=YKD1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=2.015502222222222, timeString=02.02, trainDestination=FIN1, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936673, subwayLine=YUS, stationId=YKD1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=2.852371022222222, timeString=02.85, trainDestination=FIN1, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936674, subwayLine=YUS, stationId=LWW1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=2.0183244444444446, timeString=02.02, trainDestination=FIN1, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936675, subwayLine=YUS, stationId=LWW1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=4.033826666666666, timeString=04.03, trainDestination=FIN1, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936676, subwayLine=YUS, stationId=LWW1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=4.870695466666667, timeString=04.87, trainDestination=FIN1, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936677, subwayLine=YUS, stationId=GCN1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=0.7595, timeString=00.76, trainDestination=FIN1, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936678, subwayLine=YUS, stationId=GCN1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=3.3768133333333337, timeString=03.38, trainDestination=FIN1, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936679, subwayLine=YUS, stationId=GCN1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=5.392315555555555, timeString=05.39, trainDestination=FIN1, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936680, subwayLine=YUS, stationId=EGW1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=1.333611111111111, timeString=01.33, trainDestination=FIN1, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936681, subwayLine=YUS, stationId=EGW1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=2.5797044444444444, timeString=02.58, trainDestination=FIN1, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936682, subwayLine=YUS, stationId=EGW1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=5.197017777777778, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593936683, subwayLine=YUS, stationId=SCW1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=6.0330466666666664, timeString=06.03, trainDestination=FIN1, createDate=Sun Sep 17 11:19:29 EDT 2017, systemMessageType=Normal]
