NTASData [id=16592926076, subwayLine=BD, stationId=KEN1, trainId=296, trainMessage=Delayed, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926077, subwayLine=BD, stationId=KEN1, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=1.2120527702786381, timeString=01.21, trainDestination=KEN1, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926078, subwayLine=BD, stationId=KEN1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=4.8264070291021675, timeString=04.83, trainDestination=KEN1, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926079, subwayLine=BD, stationId=KEN2, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=1.2120527702786381, timeString=01.21, trainDestination=KEN1, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926080, subwayLine=BD, stationId=KEN2, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=4.8264070291021675, timeString=04.83, trainDestination=KEN1, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926081, subwayLine=BD, stationId=KEN2, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=10.671350682352942, timeString=10.67, trainDestination=KEN1, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926082, subwayLine=BD, stationId=VPK2, trainId=204, trainMessage=Arriving, trainDirection=West, timeInt=0.9755487306501549, timeString=00.98, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926083, subwayLine=BD, stationId=MST2, trainId=204, trainMessage=Arriving, trainDirection=West, timeInt=3.215051517027864, timeString=03.22, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926084, subwayLine=BD, stationId=WDB2, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=0.7394466873065016, timeString=00.74, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926085, subwayLine=BD, stationId=WDB2, trainId=204, trainMessage=Arriving, trainDirection=West, timeInt=4.948944891640868, timeString=04.95, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926086, subwayLine=BD, stationId=COX2, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=2.0467144272445825, timeString=02.05, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926087, subwayLine=BD, stationId=COX2, trainId=204, trainMessage=Arriving, trainDirection=West, timeInt=6.256212631578948, timeString=06.26, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926088, subwayLine=BD, stationId=GWD2, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=2.9896376470588235, timeString=02.99, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926089, subwayLine=BD, stationId=GWD2, trainId=204, trainMessage=Arriving, trainDirection=West, timeInt=7.199135851393189, timeString=07.20, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926090, subwayLine=BD, stationId=DON2, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=4.181119133126935, timeString=04.18, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
