NTASData [id=16593390344, subwayLine=BD, stationId=WAR2, trainId=211, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390345, subwayLine=BD, stationId=VPK2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=3.948100235294118, timeString=03.95, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390346, subwayLine=BD, stationId=MST2, trainId=210, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390347, subwayLine=BD, stationId=MST2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=6.187603021671828, timeString=06.19, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390348, subwayLine=BD, stationId=WDB2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=1.7338933746130034, timeString=01.73, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390349, subwayLine=BD, stationId=WDB2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=7.921496396284831, timeString=07.92, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390350, subwayLine=BD, stationId=COX2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=3.041161114551084, timeString=03.04, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390351, subwayLine=BD, stationId=COX2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=9.228764136222912, timeString=09.23, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390352, subwayLine=BD, stationId=GWD2, trainId=209, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390353, subwayLine=BD, stationId=GWD2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=3.9840843343653254, timeString=03.98, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390354, subwayLine=BD, stationId=GWD2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=10.171687356037154, timeString=10.17, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
