NTASData [id=16595055930, subwayLine=YUS, stationId=COL1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=3.2419355555555556, timeString=03.24, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055931, subwayLine=YUS, stationId=COL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=5.733853333333334, timeString=05.73, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055932, subwayLine=YUS, stationId=WEL1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=1.5295155555555553, timeString=01.53, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055933, subwayLine=YUS, stationId=WEL1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=4.1595933333333335, timeString=04.16, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055934, subwayLine=YUS, stationId=WEL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=6.651511111111111, timeString=06.65, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055935, subwayLine=YUS, stationId=BLO1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=2.483862222222222, timeString=02.48, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055936, subwayLine=YUS, stationId=BLO1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=5.1139399999999995, timeString=05.11, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055937, subwayLine=YUS, stationId=BLO1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=7.6058577777777785, timeString=07.61, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055938, subwayLine=YUS, stationId=ROS1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=0.5458177777777777, timeString=00.55, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055939, subwayLine=YUS, stationId=ROS1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=3.8124355555555556, timeString=03.81, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055940, subwayLine=YUS, stationId=ROS1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=6.442513333333334, timeString=06.44, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055941, subwayLine=YUS, stationId=SUM1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=1.5752355555555555, timeString=01.58, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055942, subwayLine=YUS, stationId=SUM1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=4.841853333333333, timeString=04.84, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055943, subwayLine=YUS, stationId=SUM1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=7.471931111111111, timeString=07.47, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055944, subwayLine=YUS, stationId=STC1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=2.983395555555556, timeString=02.98, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055945, subwayLine=YUS, stationId=STC1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=6.250013333333333, timeString=06.25, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055946, subwayLine=YUS, stationId=STC1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=8.88009111111111, timeString=08.88, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055947, subwayLine=YUS, stationId=DAV1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=5.015831111111111, timeString=05.02, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055948, subwayLine=YUS, stationId=DAV1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=8.28244888888889, timeString=08.28, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055949, subwayLine=YUS, stationId=DAV1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=10.912526666666666, timeString=10.91, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055950, subwayLine=YUS, stationId=EGL1, trainId=122, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055951, subwayLine=YUS, stationId=EGL1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=1.3591822222222223, timeString=01.36, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055952, subwayLine=YUS, stationId=EGL1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=6.630013333333334, timeString=06.63, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055953, subwayLine=YUS, stationId=LAW1, trainId=122, trainMessage=Delayed, trainDirection=North, timeInt=4.291906666666667, timeString=04.29, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055954, subwayLine=YUS, stationId=LAW1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=5.651088888888888, timeString=05.65, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055955, subwayLine=YUS, stationId=LAW1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=10.92192, timeString=10.92, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055956, subwayLine=YUS, stationId=YKM1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=1.0244666666666666, timeString=01.02, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055957, subwayLine=YUS, stationId=YKM1, trainId=122, trainMessage=Delayed, trainDirection=North, timeInt=7.806573333333333, timeString=07.81, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055958, subwayLine=YUS, stationId=YKM1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=9.165755555555556, timeString=09.17, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055959, subwayLine=YUS, stationId=SHP1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=0.5683955555555555, timeString=00.57, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055960, subwayLine=YUS, stationId=SHP1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=4.610817777777777, timeString=04.61, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055961, subwayLine=YUS, stationId=SHP1, trainId=122, trainMessage=Delayed, trainDirection=North, timeInt=11.392924444444445, timeString=11.39, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055962, subwayLine=YUS, stationId=NYC1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=2.0296133333333337, timeString=02.03, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055963, subwayLine=YUS, stationId=NYC1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=6.072035555555555, timeString=06.07, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055964, subwayLine=YUS, stationId=NYC1, trainId=122, trainMessage=Delayed, trainDirection=North, timeInt=12.854142222222222, timeString=12.85, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055965, subwayLine=YUS, stationId=FIN1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=0.9098844444444445, timeString=00.91, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055966, subwayLine=YUS, stationId=FIN1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=4.636653333333333, timeString=04.64, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055967, subwayLine=YUS, stationId=FIN1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=8.679075555555556, timeString=08.68, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055968, subwayLine=YUS, stationId=FIN2, trainId=110, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055969, subwayLine=YUS, stationId=FIN2, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=0.9098844444444445, timeString=00.91, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055970, subwayLine=YUS, stationId=FIN2, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=4.636653333333333, timeString=04.64, trainDestination=FIN1, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055971, subwayLine=YUS, stationId=NYC2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=1.5973777777777778, timeString=01.60, trainDestination=SHW2, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055972, subwayLine=YUS, stationId=SHP2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=3.058031111111111, timeString=03.06, trainDestination=SHW2, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055973, subwayLine=YUS, stationId=YKM2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=6.638737777777777, timeString=06.64, trainDestination=SHW2, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055974, subwayLine=YUS, stationId=LAW2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=2.568222222222222, timeString=02.57, trainDestination=SHW2, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055975, subwayLine=YUS, stationId=LAW2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=10.15171111111111, timeString=10.15, trainDestination=SHW2, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055976, subwayLine=YUS, stationId=EGL2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=1.5635111111111113, timeString=01.56, trainDestination=SHW2, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16595055977, subwayLine=YUS, stationId=EGL2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=6.851097777777777, timeString=06.85, trainDestination=SHW2, createDate=Sun Sep 17 12:45:24 EDT 2017, systemMessageType=Normal]
