NTASData [id=16593154140, subwayLine=YUS, stationId=SHP1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=12.752106666666666, timeString=12.75, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154141, subwayLine=YUS, stationId=SHP1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=20.422697777777774, timeString=20.42, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154142, subwayLine=YUS, stationId=NYC1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=5.047568888888888, timeString=05.05, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154143, subwayLine=YUS, stationId=NYC1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=14.213324444444446, timeString=14.21, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154144, subwayLine=YUS, stationId=NYC1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=21.883915555555554, timeString=21.88, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154145, subwayLine=YUS, stationId=FIN1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=7.654608888888888, timeString=07.65, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154146, subwayLine=YUS, stationId=FIN1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=16.820364444444447, timeString=16.82, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154147, subwayLine=YUS, stationId=FIN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=24.490955555555555, timeString=24.49, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154148, subwayLine=YUS, stationId=FIN2, trainId=126, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154149, subwayLine=YUS, stationId=FIN2, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=7.654608888888888, timeString=07.65, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154150, subwayLine=YUS, stationId=FIN2, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=16.820364444444447, timeString=16.82, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154151, subwayLine=YUS, stationId=YKM2, trainId=125, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154152, subwayLine=YUS, stationId=LAW2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=3.512973333333333, timeString=03.51, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154153, subwayLine=YUS, stationId=EGL2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=3.7721822222222223, timeString=03.77, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154154, subwayLine=YUS, stationId=EGL2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=7.795848888888889, timeString=07.80, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154155, subwayLine=YUS, stationId=DAV2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=5.3818488888888885, timeString=05.38, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154156, subwayLine=YUS, stationId=DAV2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=9.405515555555555, timeString=09.41, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154157, subwayLine=YUS, stationId=STC2, trainId=123, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154158, subwayLine=YUS, stationId=STC2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=7.4210577777777775, timeString=07.42, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154159, subwayLine=YUS, stationId=STC2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=11.444724444444443, timeString=11.44, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154160, subwayLine=YUS, stationId=SUM2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=1.4042088888888888, timeString=01.40, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154161, subwayLine=YUS, stationId=SUM2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=8.825266666666668, timeString=08.83, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154162, subwayLine=YUS, stationId=SUM2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=12.848933333333331, timeString=12.85, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154163, subwayLine=YUS, stationId=ROS2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=2.4229022222222225, timeString=02.42, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154164, subwayLine=YUS, stationId=ROS2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=9.84396, timeString=09.84, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154165, subwayLine=YUS, stationId=ROS2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=13.867626666666665, timeString=13.87, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154166, subwayLine=YUS, stationId=BLO2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=3.7509111111111113, timeString=03.75, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154167, subwayLine=YUS, stationId=BLO2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=11.17196888888889, timeString=11.17, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154168, subwayLine=YUS, stationId=BLO2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=15.195635555555555, timeString=15.20, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154169, subwayLine=YUS, stationId=WEL2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=4.705257777777778, timeString=04.71, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154170, subwayLine=YUS, stationId=WEL2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=12.126315555555554, timeString=12.13, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154171, subwayLine=YUS, stationId=WEL2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=16.14998222222222, timeString=16.15, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154172, subwayLine=YUS, stationId=COL2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=5.634768888888889, timeString=05.63, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
