NTASData [id=16593863511, subwayLine=BD, stationId=PAP2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=2.1219484829721367, timeString=02.12, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863512, subwayLine=BD, stationId=PAP2, trainId=217, trainMessage=Arriving, trainDirection=West, timeInt=6.3829006811145526, timeString=06.38, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863513, subwayLine=BD, stationId=PAP2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=14.256527078637774, timeString=14.26, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863514, subwayLine=BD, stationId=CHE2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=3.149517399380805, timeString=03.15, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863515, subwayLine=BD, stationId=CHE2, trainId=217, trainMessage=Arriving, trainDirection=West, timeInt=7.410469597523221, timeString=07.41, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863516, subwayLine=BD, stationId=CHE2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=15.28409599504644, timeString=15.28, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863517, subwayLine=BD, stationId=BRD2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=4.227573652012384, timeString=04.23, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863518, subwayLine=BD, stationId=BRD2, trainId=217, trainMessage=Arriving, trainDirection=West, timeInt=8.4885258501548, timeString=08.49, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863519, subwayLine=BD, stationId=BRD2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=16.36215224767802, timeString=16.36, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863520, subwayLine=BD, stationId=CFK2, trainId=215, trainMessage=Arriving, trainDirection=West, timeInt=0.3810471826625388, timeString=00.38, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863521, subwayLine=BD, stationId=CFK2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=5.591460586996904, timeString=05.59, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863522, subwayLine=BD, stationId=CFK2, trainId=217, trainMessage=Arriving, trainDirection=West, timeInt=9.852412785139322, timeString=09.85, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
