NTASData [id=16593171044, subwayLine=YUS, stationId=DAV2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=4.019844444444445, timeString=04.02, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171045, subwayLine=YUS, stationId=DAV2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=8.771208888888888, timeString=08.77, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171046, subwayLine=YUS, stationId=STC2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=6.059053333333333, timeString=06.06, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171047, subwayLine=YUS, stationId=STC2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=10.810417777777777, timeString=10.81, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171048, subwayLine=YUS, stationId=SUM2, trainId=123, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171049, subwayLine=YUS, stationId=SUM2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=7.463262222222222, timeString=07.46, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171050, subwayLine=YUS, stationId=SUM2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=12.214626666666668, timeString=12.21, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171051, subwayLine=YUS, stationId=ROS2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=1.0186933333333332, timeString=01.02, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171052, subwayLine=YUS, stationId=ROS2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=8.481955555555556, timeString=08.48, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171053, subwayLine=YUS, stationId=ROS2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=13.23332, timeString=13.23, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171054, subwayLine=YUS, stationId=BLO2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=2.3467022222222225, timeString=02.35, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171055, subwayLine=YUS, stationId=BLO2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=9.809964444444445, timeString=09.81, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171056, subwayLine=YUS, stationId=BLO2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=14.56132888888889, timeString=14.56, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171057, subwayLine=YUS, stationId=WEL2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=3.301048888888889, timeString=03.30, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171058, subwayLine=YUS, stationId=WEL2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=10.76431111111111, timeString=10.76, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171059, subwayLine=YUS, stationId=WEL2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=15.515675555555555, timeString=15.52, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171060, subwayLine=YUS, stationId=COL2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=4.2305600000000005, timeString=04.23, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171061, subwayLine=YUS, stationId=COL2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=11.69382222222222, timeString=11.69, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171062, subwayLine=YUS, stationId=COL2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=16.445186666666668, timeString=16.45, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171063, subwayLine=YUS, stationId=DUN2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=5.097417777777778, timeString=05.10, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171064, subwayLine=YUS, stationId=DUN2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=12.56068, timeString=12.56, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171065, subwayLine=YUS, stationId=DUN2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=17.312044444444442, timeString=17.31, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171066, subwayLine=YUS, stationId=QUN2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=5.8542088888888895, timeString=05.85, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171067, subwayLine=YUS, stationId=QUN2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=13.31747111111111, timeString=13.32, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171068, subwayLine=YUS, stationId=QUN2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=18.068835555555555, timeString=18.07, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593171069, subwayLine=YUS, stationId=KNG2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=6.679862222222223, timeString=06.68, trainDestination=MUS2, createDate=Sun Sep 17 10:22:38 EDT 2017, systemMessageType=Normal]
