NTASData [id=16593043376, subwayLine=YUS, stationId=DAV1, trainId=101, trainMessage=Delayed, trainDirection=North, timeInt=5.798586666666667, timeString=05.80, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043377, subwayLine=YUS, stationId=DAV1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=12.398297777777778, timeString=12.40, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043378, subwayLine=YUS, stationId=EGL1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=1.6141822222222224, timeString=01.61, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043379, subwayLine=YUS, stationId=EGL1, trainId=101, trainMessage=Delayed, trainDirection=North, timeInt=7.412768888888889, timeString=07.41, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043380, subwayLine=YUS, stationId=EGL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=14.012479999999998, timeString=14.01, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043381, subwayLine=YUS, stationId=LAW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=5.906088888888888, timeString=05.91, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043382, subwayLine=YUS, stationId=LAW1, trainId=101, trainMessage=Delayed, trainDirection=North, timeInt=11.704675555555555, timeString=11.70, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043383, subwayLine=YUS, stationId=LAW1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=18.304386666666662, timeString=18.30, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043384, subwayLine=YUS, stationId=YKM1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=9.420755555555557, timeString=09.42, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043385, subwayLine=YUS, stationId=YKM1, trainId=101, trainMessage=Delayed, trainDirection=North, timeInt=15.219342222222224, timeString=15.22, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043386, subwayLine=YUS, stationId=YKM1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=21.819053333333333, timeString=21.82, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043387, subwayLine=YUS, stationId=SHP1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=2.9559955555555555, timeString=02.96, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043388, subwayLine=YUS, stationId=SHP1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=13.007106666666665, timeString=13.01, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043389, subwayLine=YUS, stationId=SHP1, trainId=101, trainMessage=Delayed, trainDirection=North, timeInt=18.805693333333334, timeString=18.81, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043390, subwayLine=YUS, stationId=NYC1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=4.417213333333333, timeString=04.42, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043391, subwayLine=YUS, stationId=NYC1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=14.468324444444445, timeString=14.47, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043392, subwayLine=YUS, stationId=NYC1, trainId=101, trainMessage=Delayed, trainDirection=North, timeInt=20.26691111111111, timeString=20.27, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043393, subwayLine=YUS, stationId=FIN1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=7.024253333333332, timeString=07.02, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043394, subwayLine=YUS, stationId=FIN1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=17.075364444444446, timeString=17.08, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043395, subwayLine=YUS, stationId=FIN1, trainId=101, trainMessage=Delayed, trainDirection=North, timeInt=22.87395111111111, timeString=22.87, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043396, subwayLine=YUS, stationId=FIN2, trainId=125, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043397, subwayLine=YUS, stationId=FIN2, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=7.024253333333332, timeString=07.02, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043398, subwayLine=YUS, stationId=FIN2, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=17.075364444444446, timeString=17.08, trainDestination=FIN1, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043399, subwayLine=YUS, stationId=SHP2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=1.0080977777777778, timeString=01.01, trainDestination=MUS2, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043400, subwayLine=YUS, stationId=YKM2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=4.588804444444444, timeString=04.59, trainDestination=MUS2, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043401, subwayLine=YUS, stationId=LAW2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=8.101777777777777, timeString=08.10, trainDestination=MUS2, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043402, subwayLine=YUS, stationId=EGL2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=2.4101777777777778, timeString=02.41, trainDestination=MUS2, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043403, subwayLine=YUS, stationId=EGL2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=12.384653333333334, timeString=12.38, trainDestination=MUS2, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043404, subwayLine=YUS, stationId=DAV2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=4.019844444444445, timeString=04.02, trainDestination=MUS2, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043405, subwayLine=YUS, stationId=DAV2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=13.99432, timeString=13.99, trainDestination=MUS2, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043406, subwayLine=YUS, stationId=STC2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=6.059053333333333, timeString=06.06, trainDestination=MUS2, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16593043407, subwayLine=YUS, stationId=STC2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=16.03352888888889, timeString=16.03, trainDestination=MUS2, createDate=Sun Sep 17 10:14:05 EDT 2017, systemMessageType=Normal]
