NTASData [id=16594536468, subwayLine=YUS, stationId=FIN2, trainId=101, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536469, subwayLine=YUS, stationId=FIN2, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=2.35204, timeString=02.35, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536470, subwayLine=YUS, stationId=FIN2, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=5.5933866666666665, timeString=05.59, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536471, subwayLine=YUS, stationId=LAW2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=2.568222222222222, timeString=02.57, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536472, subwayLine=YUS, stationId=EGL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=6.851097777777777, timeString=06.85, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536473, subwayLine=YUS, stationId=DAV2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=8.460764444444445, timeString=08.46, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536474, subwayLine=YUS, stationId=STC2, trainId=16, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536475, subwayLine=YUS, stationId=STC2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=10.499973333333333, timeString=10.50, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536476, subwayLine=YUS, stationId=SUM2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=1.4042088888888888, timeString=01.40, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536477, subwayLine=YUS, stationId=SUM2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=11.904182222222223, timeString=11.90, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536478, subwayLine=YUS, stationId=ROS2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=2.4229022222222225, timeString=02.42, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536479, subwayLine=YUS, stationId=ROS2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=12.922875555555557, timeString=12.92, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536480, subwayLine=YUS, stationId=BLO2, trainId=117, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536481, subwayLine=YUS, stationId=BLO2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=3.7509111111111113, timeString=03.75, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536482, subwayLine=YUS, stationId=BLO2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=14.250884444444445, timeString=14.25, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536483, subwayLine=YUS, stationId=WEL2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=0.9543466666666667, timeString=00.95, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536484, subwayLine=YUS, stationId=WEL2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=4.705257777777778, timeString=04.71, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536485, subwayLine=YUS, stationId=WEL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=15.205231111111113, timeString=15.21, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536486, subwayLine=YUS, stationId=COL2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=1.8838577777777779, timeString=01.88, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536487, subwayLine=YUS, stationId=COL2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=5.634768888888889, timeString=05.63, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536488, subwayLine=YUS, stationId=COL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=16.134742222222222, timeString=16.13, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536489, subwayLine=YUS, stationId=DUN2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=2.7507155555555554, timeString=02.75, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536490, subwayLine=YUS, stationId=DUN2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=6.501626666666667, timeString=06.50, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536491, subwayLine=YUS, stationId=DUN2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=17.0016, timeString=17.00, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536492, subwayLine=YUS, stationId=QUN2, trainId=115, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536493, subwayLine=YUS, stationId=QUN2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=3.5075066666666666, timeString=03.51, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536494, subwayLine=YUS, stationId=QUN2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=7.258417777777778, timeString=07.26, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536495, subwayLine=YUS, stationId=KNG2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=0.8256533333333334, timeString=00.83, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536496, subwayLine=YUS, stationId=KNG2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=4.3331599999999995, timeString=04.33, trainDestination=SHW2, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
