NTASData [id=16594694212, subwayLine=YUS, stationId=SHP1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=2.5862844444444444, timeString=02.59, trainDestination=FIN1, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694213, subwayLine=YUS, stationId=SHP1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=9.910257777777776, timeString=09.91, trainDestination=FIN1, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694214, subwayLine=YUS, stationId=SHP1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=11.392924444444445, timeString=11.39, trainDestination=FIN1, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694215, subwayLine=YUS, stationId=NYC1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=0.5164666666666666, timeString=00.52, trainDestination=FIN1, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694216, subwayLine=YUS, stationId=NYC1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=4.047502222222223, timeString=04.05, trainDestination=FIN1, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694217, subwayLine=YUS, stationId=NYC1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=11.371475555555556, timeString=11.37, trainDestination=FIN1, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694218, subwayLine=YUS, stationId=FIN1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=3.1235066666666667, timeString=03.12, trainDestination=FIN1, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694219, subwayLine=YUS, stationId=FIN1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=6.654542222222222, timeString=06.65, trainDestination=FIN1, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694220, subwayLine=YUS, stationId=FIN1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=13.978515555555555, timeString=13.98, trainDestination=FIN1, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694221, subwayLine=YUS, stationId=FIN2, trainId=118, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694222, subwayLine=YUS, stationId=FIN2, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=3.1235066666666667, timeString=03.12, trainDestination=FIN1, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694223, subwayLine=YUS, stationId=FIN2, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=6.654542222222222, timeString=06.65, trainDestination=FIN1, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694224, subwayLine=YUS, stationId=YKM2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=2.7657777777777777, timeString=02.77, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694225, subwayLine=YUS, stationId=LAW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=6.278751111111111, timeString=06.28, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694226, subwayLine=YUS, stationId=EGL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=3.4713333333333334, timeString=03.47, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694227, subwayLine=YUS, stationId=EGL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=10.561626666666665, timeString=10.56, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694228, subwayLine=YUS, stationId=DAV2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=5.0809999999999995, timeString=05.08, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694229, subwayLine=YUS, stationId=DAV2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=12.171293333333335, timeString=12.17, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694230, subwayLine=YUS, stationId=STC2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=7.120208888888889, timeString=07.12, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694231, subwayLine=YUS, stationId=STC2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=14.210502222222221, timeString=14.21, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694232, subwayLine=YUS, stationId=SUM2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=8.524417777777778, timeString=08.52, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694233, subwayLine=YUS, stationId=SUM2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=15.614711111111111, timeString=15.61, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694234, subwayLine=YUS, stationId=ROS2, trainId=102, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694235, subwayLine=YUS, stationId=ROS2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=9.54311111111111, timeString=09.54, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694236, subwayLine=YUS, stationId=ROS2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=16.63340444444444, timeString=16.63, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694237, subwayLine=YUS, stationId=BLO2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=1.3280088888888888, timeString=01.33, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694238, subwayLine=YUS, stationId=BLO2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=10.871120000000001, timeString=10.87, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694239, subwayLine=YUS, stationId=BLO2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=17.961413333333333, timeString=17.96, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694240, subwayLine=YUS, stationId=WEL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=2.2823555555555552, timeString=02.28, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694241, subwayLine=YUS, stationId=WEL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=11.825466666666665, timeString=11.83, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694242, subwayLine=YUS, stationId=WEL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=18.915759999999995, timeString=18.92, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694243, subwayLine=YUS, stationId=COL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=3.211866666666667, timeString=03.21, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694244, subwayLine=YUS, stationId=COL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=12.754977777777777, timeString=12.75, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694245, subwayLine=YUS, stationId=COL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=19.84527111111111, timeString=19.85, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694246, subwayLine=YUS, stationId=DUN2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=4.078724444444445, timeString=04.08, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694247, subwayLine=YUS, stationId=DUN2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=13.621835555555553, timeString=13.62, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694248, subwayLine=YUS, stationId=DUN2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=20.71212888888889, timeString=20.71, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694249, subwayLine=YUS, stationId=QUN2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=4.835515555555555, timeString=04.84, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694250, subwayLine=YUS, stationId=QUN2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=14.378626666666667, timeString=14.38, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694251, subwayLine=YUS, stationId=QUN2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=21.468919999999997, timeString=21.47, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694252, subwayLine=YUS, stationId=KNG2, trainId=16, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694253, subwayLine=YUS, stationId=KNG2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=5.66116888888889, timeString=05.66, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694254, subwayLine=YUS, stationId=KNG2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=15.204279999999999, timeString=15.20, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694255, subwayLine=YUS, stationId=UNI2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=0.8070266666666667, timeString=00.81, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694256, subwayLine=YUS, stationId=UNI2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=6.468195555555555, timeString=06.47, trainDestination=SHW2, createDate=Sun Sep 17 12:16:37 EDT 2017, systemMessageType=Normal]
