NTASData [id=16594072181, subwayLine=YUS, stationId=EGL1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=0.8415866666666666, timeString=00.84, trainDestination=FIN1, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072182, subwayLine=YUS, stationId=EGL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=5.6237377777777775, timeString=05.62, trainDestination=FIN1, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072183, subwayLine=YUS, stationId=EGL1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=10.651164444444444, timeString=10.65, trainDestination=FIN1, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072184, subwayLine=YUS, stationId=LAW1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=5.133493333333333, timeString=05.13, trainDestination=FIN1, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072185, subwayLine=YUS, stationId=LAW1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=9.915644444444444, timeString=09.92, trainDestination=FIN1, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072186, subwayLine=YUS, stationId=LAW1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=14.94307111111111, timeString=14.94, trainDestination=FIN1, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072187, subwayLine=YUS, stationId=YKM1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=8.648159999999999, timeString=08.65, trainDestination=FIN1, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072188, subwayLine=YUS, stationId=YKM1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=13.430311111111113, timeString=13.43, trainDestination=FIN1, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072189, subwayLine=YUS, stationId=YKM1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=18.457737777777776, timeString=18.46, trainDestination=FIN1, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072190, subwayLine=YUS, stationId=SHP1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=1.1300177777777778, timeString=01.13, trainDestination=FIN1, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072191, subwayLine=YUS, stationId=SHP1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=12.234511111111113, timeString=12.23, trainDestination=FIN1, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072192, subwayLine=YUS, stationId=SHP1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=17.016662222222223, timeString=17.02, trainDestination=FIN1, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072193, subwayLine=YUS, stationId=NYC1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=2.5912355555555555, timeString=02.59, trainDestination=FIN1, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072194, subwayLine=YUS, stationId=NYC1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=13.695728888888889, timeString=13.70, trainDestination=FIN1, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072195, subwayLine=YUS, stationId=NYC1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=18.47788, timeString=18.48, trainDestination=FIN1, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072196, subwayLine=YUS, stationId=FIN1, trainId=114, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072197, subwayLine=YUS, stationId=FIN1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=5.198275555555555, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072198, subwayLine=YUS, stationId=FIN1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=16.302768888888888, timeString=16.30, trainDestination=FIN1, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072199, subwayLine=YUS, stationId=FIN2, trainId=115, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072200, subwayLine=YUS, stationId=FIN2, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=5.198275555555555, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072201, subwayLine=YUS, stationId=FIN2, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=16.302768888888888, timeString=16.30, trainDestination=FIN1, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072202, subwayLine=YUS, stationId=NYC2, trainId=112, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072203, subwayLine=YUS, stationId=SHP2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=1.4606533333333336, timeString=01.46, trainDestination=SHW2, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072204, subwayLine=YUS, stationId=YKM2, trainId=111, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072205, subwayLine=YUS, stationId=YKM2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=5.04136, timeString=05.04, trainDestination=SHW2, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072206, subwayLine=YUS, stationId=LAW2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=3.512973333333333, timeString=03.51, trainDestination=SHW2, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072207, subwayLine=YUS, stationId=LAW2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=8.554333333333332, timeString=08.55, trainDestination=SHW2, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072208, subwayLine=YUS, stationId=EGL2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=3.0649333333333333, timeString=03.06, trainDestination=SHW2, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072209, subwayLine=YUS, stationId=EGL2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=7.795848888888889, timeString=07.80, trainDestination=SHW2, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072210, subwayLine=YUS, stationId=EGL2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=12.837208888888886, timeString=12.84, trainDestination=SHW2, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072211, subwayLine=YUS, stationId=DAV2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=0.8449733333333334, timeString=00.84, trainDestination=SHW2, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072212, subwayLine=YUS, stationId=DAV2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=4.6746, timeString=04.67, trainDestination=SHW2, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072213, subwayLine=YUS, stationId=DAV2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=9.405515555555555, timeString=09.41, trainDestination=SHW2, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072214, subwayLine=YUS, stationId=STC2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=2.884182222222222, timeString=02.88, trainDestination=SHW2, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072215, subwayLine=YUS, stationId=STC2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=6.713808888888889, timeString=06.71, trainDestination=SHW2, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072216, subwayLine=YUS, stationId=STC2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=11.444724444444443, timeString=11.44, trainDestination=SHW2, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072217, subwayLine=YUS, stationId=SUM2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=4.288391111111111, timeString=04.29, trainDestination=SHW2, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16594072218, subwayLine=YUS, stationId=SUM2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=8.118017777777778, timeString=08.12, trainDestination=SHW2, createDate=Sun Sep 17 11:29:22 EDT 2017, systemMessageType=Normal]
