NTASData [id=16593188746, subwayLine=YUS, stationId=STC1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=3.7661511111111112, timeString=03.77, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188747, subwayLine=YUS, stationId=STC1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=4.988044444444444, timeString=04.99, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188748, subwayLine=YUS, stationId=STC1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=8.0852, timeString=08.09, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188749, subwayLine=YUS, stationId=DAV1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=5.798586666666667, timeString=05.80, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188750, subwayLine=YUS, stationId=DAV1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=7.020479999999999, timeString=07.02, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188751, subwayLine=YUS, stationId=DAV1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=10.117635555555555, timeString=10.12, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188752, subwayLine=YUS, stationId=EGL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=7.412768888888889, timeString=07.41, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188753, subwayLine=YUS, stationId=EGL1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=8.634662222222222, timeString=08.63, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188754, subwayLine=YUS, stationId=EGL1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=11.731817777777776, timeString=11.73, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188755, subwayLine=YUS, stationId=LAW1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=3.576884444444444, timeString=03.58, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188756, subwayLine=YUS, stationId=LAW1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=11.704675555555555, timeString=11.70, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188757, subwayLine=YUS, stationId=LAW1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=12.926568888888887, timeString=12.93, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188758, subwayLine=YUS, stationId=YKM1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=7.0915511111111105, timeString=07.09, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188759, subwayLine=YUS, stationId=YKM1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=15.219342222222224, timeString=15.22, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188760, subwayLine=YUS, stationId=YKM1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=16.441235555555554, timeString=16.44, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188761, subwayLine=YUS, stationId=SHP1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=1.1300177777777778, timeString=01.13, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188762, subwayLine=YUS, stationId=SHP1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=10.677902222222222, timeString=10.68, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188763, subwayLine=YUS, stationId=SHP1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=18.805693333333334, timeString=18.81, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
